2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:32:03, 2026-05-04T05:34:03, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 1, 0.012, 50000, 72.1131, 693.355, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:34:04, 2026-05-04T05:36:05, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 1, 0.012, 50000, 73.4501, 680.735, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:36:05, 2026-05-04T05:38:03, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 1, 0.012, 50000, 69.8931, 715.378, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:38:03, 2026-05-04T05:40:03, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 1, 0.012, 50000, 71.6335, 697.997, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:52:20, 2026-05-04T05:56:49, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0.012, 50000, 220.834, 226.414, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:56:49, 2026-05-04T06:01:11, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0.012, 50000, 213.518, 234.173, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T06:01:11, 2026-05-04T06:05:35, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0.012, 50000, 216.514, 230.932, N/A
2026-03-14T21:53:40, 2026-03-15T07:20:37, 2026-03-15T07:20:51, 2026-03-15T07:21:31, sol, 1, sg002, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg002, 1, a100, 0, 12, N/A, 1, 12, 500, 0, 5000, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 0.012, 50000, 31.4556, 1589.545, N/A
2026-03-14T21:53:40, 2026-03-15T07:20:37, 2026-03-15T07:21:31, 2026-03-15T07:22:08, sol, 1, sg002, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg002, 1, a100, 0, 12, N/A, 1, 12, 500, 0, 5000, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 0.012, 50000, 31.3296, 1595.934, N/A
2026-03-14T21:53:40, 2026-03-15T07:20:37, 2026-03-15T07:22:09, 2026-03-15T07:22:44, sol, 1, sg002, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg002, 1, a100, 0, 12, N/A, 1, 12, 500, 0, 5000, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 0.012, 50000, 31.1701, 1604.100, N/A
