2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T10:34:56, 2026-03-28T10:55:11, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1212.758423, 71.4815, 6.09247e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T10:55:12, 2026-03-28T11:16:04, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1249.011475, 69.3677, 5.2197e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T11:16:05, 2026-03-28T11:34:56, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1127.364258, 76.8498, 4.00067e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T11:34:57, 2026-03-28T11:54:47, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1184.216431, 73.2025, 3.96276e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T15:27:31, 2026-03-28T16:06:38, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 2345.092529, 36.9155, 0.000180288
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T16:06:40, 2026-03-28T16:44:31, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 2268.161133, 38.1732, 0.000119325
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T16:44:32, 2026-03-28T17:24:20, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 2385.634521, 36.2818, 8.64483e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T17:24:23, 2026-03-28T18:03:54, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 2366.756836, 36.571, 9.33552e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T18:03:55, 2026-03-28T18:42:19, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 2300.244141, 37.6349, 0.000161352
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T11:54:48, 2026-03-28T12:09:13, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 859.176636, 100.964, 4.1542e-05
